geotype,strategy,scenario,metric,per_user_cost
Suburban 2,Spectrum Integration,Scenario 3 (300 Mbps),Macro Civil Works,10.66481377
Suburban 2,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 2,Hybrid,Scenario 1 (30 Mbps),Small Cell Civil Works,46.69676862
Suburban 2,Small Cells,Scenario 1 (30 Mbps),Small Cell Civil Works,46.69676862
Suburban 2,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Suburban 2,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,42.00751645
Suburban 2,Hybrid,Scenario 2 (100 Mbps),Macro RAN,42.00751645
Suburban 2,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Suburban 2,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,42.00751645
Suburban 2,Hybrid,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 2,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Suburban 2,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,42.00751645
Suburban 2,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 2,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 2,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,8.980147813
Suburban 2,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
Suburban 2,Hybrid,Scenario 2 (100 Mbps),Small Cell RAN,11.03457215
Suburban 2,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Suburban 2,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell RAN,0
Suburban 2,Hybrid,Scenario 1 (30 Mbps),Macro Civil Works,10.66481377
Suburban 2,Small Cells,Scenario 1 (30 Mbps),Macro Civil Works,0
Suburban 2,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,195.0197932
Suburban 2,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,198.1359316
Suburban 2,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
Suburban 2,Small Cells,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 2,Spectrum Integration,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 2,Small Cells,Scenario 2 (100 Mbps),Small Cell RAN,11.63382952
Suburban 2,Spectrum Integration,Scenario 1 (30 Mbps),Macro Civil Works,10.66481377
Urban,Hybrid,Scenario 3 (300 Mbps),Small Cell RAN,43.5812673
Urban,Small Cells,Scenario 3 (300 Mbps),Small Cell RAN,44.14061862
Urban,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell RAN,0
Urban,Hybrid,Scenario 3 (300 Mbps),Macro RAN,35.78376098
Urban,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Urban,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,35.78376098
Urban,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,0
Urban,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,2.566703043
Urban,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,3.06966021
Urban,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,0
Urban,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Urban,Small Cells,Scenario 2 (100 Mbps),Small Cell RAN,13.71768647
Urban,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell RAN,0
Urban,Hybrid,Scenario 1 (30 Mbps),Macro Civil Works,9.084734803
Urban,Small Cells,Scenario 1 (30 Mbps),Macro Civil Works,0
Urban,Spectrum Integration,Scenario 1 (30 Mbps),Macro Civil Works,9.084734803
Urban,Hybrid,Scenario 2 (100 Mbps),Macro Civil Works,9.084734803
Urban,Small Cells,Scenario 2 (100 Mbps),Macro Civil Works,0
Urban,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,9.084734803
Urban,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,9.084734803
Urban,Small Cells,Scenario 3 (300 Mbps),Macro Civil Works,0
Urban,Spectrum Integration,Scenario 3 (300 Mbps),Macro Civil Works,9.084734803
Urban,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
Urban,Hybrid,Scenario 2 (100 Mbps),Small Cell RAN,13.15833514
Urban,Hybrid,Scenario 1 (30 Mbps),Macro RAN,35.78376098
Urban,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Urban,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,35.78376098
Urban,Hybrid,Scenario 2 (100 Mbps),Macro RAN,35.78376098
Urban,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Urban,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,35.78376098
Urban,Hybrid,Scenario 1 (30 Mbps),Macro Backhaul,0
Urban,Small Cells,Scenario 1 (30 Mbps),Macro Backhaul,0
Urban,Spectrum Integration,Scenario 1 (30 Mbps),Macro Backhaul,0
Urban,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,0
Urban,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Urban,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,0
Urban,Hybrid,Scenario 1 (30 Mbps),Small Cell Civil Works,13.34685582
Urban,Small Cells,Scenario 1 (30 Mbps),Small Cell Civil Works,15.96223309
Urban,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Urban,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,68.42334273
Urban,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,71.33196962
Urban,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Urban,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,226.62259
Urban,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,229.5312168
Urban,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
